raceId,driverId,constructorId,number,position,grid,positionText,points,laps,status,millis,time,Fastestlap,Fastlaptime,Fastlaspeed,rank
Emilia Romagna Grand Prix,max_verstappen,red_bull,33,1,3,1,25,63,Finished,7354598,2:02:34.598,60,1:17.524,227.960,2
Emilia Romagna Grand Prix,hamilton,mercedes,44,2,1,2,19,63,Finished,7376598,+22.000,60,1:16.702,230.403,1
Emilia Romagna Grand Prix,norris,mclaren,4,3,7,3,15,63,Finished,7378300,+23.702,63,1:18.259,225.819,3
Emilia Romagna Grand Prix,leclerc,ferrari,16,4,4,4,12,63,Finished,7380177,+25.579,60,1:18.379,225.473,6
Emilia Romagna Grand Prix,sainz,ferrari,55,5,11,5,10,63,Finished,7381634,+27.036,60,1:18.490,225.154,7
Emilia Romagna Grand Prix,ricciardo,mclaren,3,6,6,6,8,63,Finished,7405818,+51.220,54,1:19.341,222.739,12
Emilia Romagna Grand Prix,gasly,alphatauri,10,7,5,7,6,63,Finished,7407416,+52.818,52,1:18.994,223.718,9
Emilia Romagna Grand Prix,stroll,aston_martin,18,8,10,8,4,63,Finished,7411507,+56.909,59,1:18.782,224.320,8
Emilia Romagna Grand Prix,ocon,alpine,31,9,9,9,2,63,Finished,7420302,+65.704,62,1:19.422,222.512,15
Emilia Romagna Grand Prix,alonso,alpine,14,10,15,10,1,63,Finished,7421159,+66.561,62,1:19.417,222.526,14
Bahrain Grand Prix,leclerc,ferrari,16,1,1,1,26,57,Finished,5853584,1:37:33.584,51,1:34.570,206.018,1
Bahrain Grand Prix,sainz,ferrari,55,2,3,2,18,57,Finished,5859182,+5.598,52,1:35.740,203.501,3
Bahrain Grand Prix,hamilton,mercedes,44,3,5,3,15,57,Finished,5863259,+9.675,53,1:36.228,202.469,5
Bahrain Grand Prix,russell,mercedes,63,4,9,4,12,57,Finished,5864795,+11.211,56,1:36.302,202.313,6
Bahrain Grand Prix,kevin_magnussen,haas,20,5,7,5,10,57,Finished,5868338,+14.754,53,1:36.623,201.641,8
Bahrain Grand Prix,bottas,alfa,77,6,6,6,8,57,Finished,5869703,+16.119,53,1:36.599,201.691,7
Bahrain Grand Prix,ocon,alpine,31,7,11,7,6,57,Finished,5873007,+19.423,53,1:37.110,200.630,14
Bahrain Grand Prix,tsunoda,alphatauri,22,8,16,8,4,57,Finished,5873970,+20.386,53,1:37.104,200.642,13
Bahrain Grand Prix,alonso,alpine,14,9,8,9,2,57,Finished,5875974,+22.390,44,1:36.733,201.412,10
Bahrain Grand Prix,zhou,alfa,24,10,15,10,1,57,Finished,5876648,+23.064,39,1:36.685,201.512,9
Bahrain Grand Prix,mick_schumacher,haas,47,11,12,11,0,57,Finished,5886158,+32.574,37,1:36.956,200.948,11
Bahrain Grand Prix,stroll,aston_martin,18,12,19,12,0,57,Finished,5899457,+45.873,49,1:37.146,200.555,15
Bahrain Grand Prix,albon,williams,23,13,14,13,0,57,Finished,5907516,+53.932,50,1:37.355,200.125,18
Bahrain Grand Prix,ricciardo,mclaren,3,14,18,14,0,57,Finished,5908559,+54.975,50,1:37.261,200.318,16
Bahrain Grand Prix,norris,mclaren,4,15,13,15,0,57,Finished,5909919,+56.335,51,1:36.988,200.882,12
Bahrain Grand Prix,latifi,williams,6,16,20,16,0,57,Finished,5915379,+1:01.795,51,1:38.251,198.300,20
Bahrain Grand Prix,hulkenberg,aston_martin,27,17,17,17,0,57,Finished,5917413,+1:03.829,49,1:38.201,198.401,19
Bahrain Grand Prix,perez,red_bull,11,18,4,18,0,56,Fuel pressure,,,52,1:36.089,202.762,4
Bahrain Grand Prix,max_verstappen,red_bull,1,19,2,19,0,54,Fuel pressure,,,51,1:35.440,204.140,2
Bahrain Grand Prix,gasly,alphatauri,10,20,10,R,0,44,Power Unit,,,34,1:37.324,200.189,17
Saudi Arabian Grand Prix,max_verstappen,red_bull,1,1,4,1,25,50,Finished,5059293,1:24:19.293,50,1:31.772,242.191,2
Saudi Arabian Grand Prix,leclerc,ferrari,16,2,2,2,19,50,Finished,5059842,+0.549,48,1:31.634,242.556,1
Saudi Arabian Grand Prix,sainz,ferrari,55,3,3,3,15,50,Finished,5067390,+8.097,48,1:31.905,241.841,3
Saudi Arabian Grand Prix,perez,red_bull,11,4,1,4,12,50,Finished,5070093,+10.800,46,1:32.042,241.481,4
Saudi Arabian Grand Prix,russell,mercedes,63,5,6,5,10,50,Finished,5092025,+32.732,43,1:32.821,239.454,7
Saudi Arabian Grand Prix,ocon,alpine,31,6,5,6,8,50,Finished,5115310,+56.017,46,1:33.103,238.729,9
Saudi Arabian Grand Prix,norris,mclaren,4,7,11,7,6,50,Finished,5115417,+56.124,46,1:32.753,239.629,5
Saudi Arabian Grand Prix,gasly,alphatauri,10,8,9,8,4,50,Finished,5122239,+1:02.946,42,1:33.468,237.796,10
Saudi Arabian Grand Prix,kevin_magnussen,haas,20,9,10,9,2,50,Finished,5123601,+1:04.308,48,1:32.779,239.562,6
Saudi Arabian Grand Prix,hamilton,mercedes,44,10,15,10,1,50,Finished,5133241,+1:13.948,47,1:32.997,239.001,8
